,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Allele,Striatum_interaction,Hippocampus_interaction,Cortex_interaction
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_1,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,1,1_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,Striatum_ALT,1,1,0,0
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_2,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,2,2_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,Striatum_ALT,1,1,0,0
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_3,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,3,3_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,Striatum_ALT,1,1,0,0
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_4,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,4,4_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,Striatum_ALT,1,1,0,0
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_5,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,5,5_ALT,ALT,ZC100R-MPRA3-AP1134-26-Striatum_ALT,AP1134_ALT,Striatum_ALT,1,1,0,0
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_1,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,1,1_REF,REF,ZC100R-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,Striatum_REF,0,0,0,0
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_2,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,2,2_REF,REF,ZC100R-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,Striatum_REF,0,0,0,0
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_3,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,3,3_REF,REF,ZC100R-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,Striatum_REF,0,0,0,0
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_4,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,4,4_REF,REF,ZC100R-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,Striatum_REF,0,0,0,0
ZC100-MPRA3-AP1134-26-Striatum_REF_Barcode_5,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1,0,0,AP1134Striatum,5,5_REF,REF,ZC100R-MPRA3-AP1134-26-Striatum_REF,AP1134_REF,Striatum_REF,0,0,0,0
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF,0,0,0,0
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF,0,0,0,0
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF,0,0,0,0
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF,0,0,0,0
ZC103-MPRA3-AP1120-26-Cortex_REF_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5_REF,REF,ZC103R-MPRA3-AP1120-26-Cortex_REF,AP1120_REF,Cortex_REF,0,0,0,0
ZC104-MPRA3-AP1120-26-Striatum_ALT_Barcode_1,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,1,1_ALT,ALT,ZC104R-MPRA3-AP1120-26-Striatum_ALT,AP1120_ALT,Striatum_ALT,1,1,0,0
ZC104-MPRA3-AP1120-26-Striatum_ALT_Barcode_2,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,2,2_ALT,ALT,ZC104R-MPRA3-AP1120-26-Striatum_ALT,AP1120_ALT,Striatum_ALT,1,1,0,0
ZC104-MPRA3-AP1120-26-Striatum_ALT_Barcode_3,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,3,3_ALT,ALT,ZC104R-MPRA3-AP1120-26-Striatum_ALT,AP1120_ALT,Striatum_ALT,1,1,0,0
ZC104-MPRA3-AP1120-26-Striatum_ALT_Barcode_4,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,4,4_ALT,ALT,ZC104R-MPRA3-AP1120-26-Striatum_ALT,AP1120_ALT,Striatum_ALT,1,1,0,0
ZC104-MPRA3-AP1120-26-Striatum_ALT_Barcode_5,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,5,5_ALT,ALT,ZC104R-MPRA3-AP1120-26-Striatum_ALT,AP1120_ALT,Striatum_ALT,1,1,0,0
ZC104-MPRA3-AP1120-26-Striatum_REF_Barcode_1,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,1,1_REF,REF,ZC104R-MPRA3-AP1120-26-Striatum_REF,AP1120_REF,Striatum_REF,0,0,0,0
ZC104-MPRA3-AP1120-26-Striatum_REF_Barcode_2,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,2,2_REF,REF,ZC104R-MPRA3-AP1120-26-Striatum_REF,AP1120_REF,Striatum_REF,0,0,0,0
ZC104-MPRA3-AP1120-26-Striatum_REF_Barcode_3,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,3,3_REF,REF,ZC104R-MPRA3-AP1120-26-Striatum_REF,AP1120_REF,Striatum_REF,0,0,0,0
ZC104-MPRA3-AP1120-26-Striatum_REF_Barcode_4,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,4,4_REF,REF,ZC104R-MPRA3-AP1120-26-Striatum_REF,AP1120_REF,Striatum_REF,0,0,0,0
ZC104-MPRA3-AP1120-26-Striatum_REF_Barcode_5,Striatum,AAV-PHP-EB,,AP1120,F,ZC104R-MPRA3-AP1120-26-Striatum,Brain,Brain,1,0,0,AP1120Striatum,5,5_REF,REF,ZC104R-MPRA3-AP1120-26-Striatum_REF,AP1120_REF,Striatum_REF,0,0,0,0
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC107-MPRA3-AP1121-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5_ALT,ALT,ZC107R-MPRA3-AP1121-26-Cortex_ALT,AP1121_ALT,Cortex_ALT,1,0,0,1
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_1,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,1,1_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF,0,0,0,0
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_2,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,2,2_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF,0,0,0,0
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_3,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,3,3_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF,0,0,0,0
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_4,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,4,4_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF,0,0,0,0
ZC107-MPRA3-AP1121-26-Cortex_REF_Barcode_5,Cortex,AAV-PHP-EB,,AP1121,F,ZC107R-MPRA3-AP1121-26-Cortex,Brain,Brain,0,0,1,AP1121Cortex,5,5_REF,REF,ZC107R-MPRA3-AP1121-26-Cortex_REF,AP1121_REF,Cortex_REF,0,0,0,0
ZC108-MPRA3-AP1121-26-Striatum_ALT_Barcode_1,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,1,1_ALT,ALT,ZC108R-MPRA3-AP1121-26-Striatum_ALT,AP1121_ALT,Striatum_ALT,1,1,0,0
ZC108-MPRA3-AP1121-26-Striatum_ALT_Barcode_2,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,2,2_ALT,ALT,ZC108R-MPRA3-AP1121-26-Striatum_ALT,AP1121_ALT,Striatum_ALT,1,1,0,0
ZC108-MPRA3-AP1121-26-Striatum_ALT_Barcode_3,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,3,3_ALT,ALT,ZC108R-MPRA3-AP1121-26-Striatum_ALT,AP1121_ALT,Striatum_ALT,1,1,0,0
ZC108-MPRA3-AP1121-26-Striatum_ALT_Barcode_4,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,4,4_ALT,ALT,ZC108R-MPRA3-AP1121-26-Striatum_ALT,AP1121_ALT,Striatum_ALT,1,1,0,0
ZC108-MPRA3-AP1121-26-Striatum_ALT_Barcode_5,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,5,5_ALT,ALT,ZC108R-MPRA3-AP1121-26-Striatum_ALT,AP1121_ALT,Striatum_ALT,1,1,0,0
ZC108-MPRA3-AP1121-26-Striatum_REF_Barcode_1,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,1,1_REF,REF,ZC108R-MPRA3-AP1121-26-Striatum_REF,AP1121_REF,Striatum_REF,0,0,0,0
ZC108-MPRA3-AP1121-26-Striatum_REF_Barcode_2,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,2,2_REF,REF,ZC108R-MPRA3-AP1121-26-Striatum_REF,AP1121_REF,Striatum_REF,0,0,0,0
ZC108-MPRA3-AP1121-26-Striatum_REF_Barcode_3,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,3,3_REF,REF,ZC108R-MPRA3-AP1121-26-Striatum_REF,AP1121_REF,Striatum_REF,0,0,0,0
ZC108-MPRA3-AP1121-26-Striatum_REF_Barcode_4,Striatum,AAV-PHP-EB,,AP1121,F,ZC108R-MPRA3-AP1121-26-Striatum,Brain,Brain,1,0,0,AP1121Striatum,4,4_REF,REF,ZC108R-MPRA3-AP1121-26-Striatum_REF,AP1121_REF,Striatum_REF,0,0,0,0
